// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
// add an entry for this type of entity. // we can be assured that all referenced entities have already // been processed, // so specify that this entity is with the latest batch. // doing the batch number before adding the name to the list is // a faster way to get an accurate number.
//TODO: should this be Session.instantiate(Persister, ...)?
//GENERATE THE SQL:
// ignore it; the incoming property could not be found so we // cannot be sure what to do here.  At the very least, the // safest is to simply not apply any dereference toggling...
//Access cached SQL
// get the updated snapshot of the entity state by cloning current state; // it is safe to copy in place, since by this time no-one else (should have) // has a reference  to the array
"//		 This assumes you will want to ignore any update counts"
//needed so that we remove this collection from the second-level cache
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // stuff that is persister-centric and/or EntityInfo-centric ~~~~~~~~~~~~~~ // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
"//	public ComponentTuplizerFactory getComponentTuplizerFactory() { //		return componentTuplizerFactory; //	}"
// SELECT p FROM p IN CLASS eg.Person GROUP BY p.Name, p.Address, p
// Put the FILTERS node before the HQL condition and theta joins
// we found a collection element in the result set
// todo : this eventually needs to be removed
/* local variable | this | */
// Establish the region root node with a non-locking data version
// EARLY EXIT!!!  return so the resolve call explicitly coming from DotNode can // resolve this...
//materialize associations (and initialize the object) later
//use dialect default properties
//create all the new entries
// ... and the expected token type was an identifier, then:
// (NOT (NE a b) ) => (EQ a b)
// Not null if the Isolation level has been specified in the configuration file. // Otherwise, it is left to the Driver's default value.
// if not "get", then try "is"
// set up second pass
//TODO!
//sort the updates by fk
"/*public boolean supportsForUpdateNowait() {		return false;	}*/"
//not all classpersisters implement PropertyMapping!
// don't need subclass tables, because they can't appear in conditions
// aaload
//TODO: temporary
"/*		 * We might want a special case for 19,2. This is very common for money types		 * and here it is converted to 18,1		 */"
// disassemble positional parameters
// Cache impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//information about all columns/formulas in class hierarchy
// TODO : better way?!?
// for a subquery, the alias to use depends on a few things (we // already know this is not an overall SELECT): //      1) if this FROM_ELEMENT represents a correlation to the //          outer-most query //              A) if the outer query represents a multi-table //                  persister, we need to use the given alias //                  in anticipation of one of the multi-table //                  executors being used (as this subquery will //                  actually be used in the "id select" phase //                  of that multi-table executor) //              B) otherwise, we need to use the persister's //                  table name as the column qualification //      2) otherwise (not correlated), use the given alias
//TODO: should we allow suffixes on these ?
"/* This can never happen because this rule will always eliminate the child NOT.			case NOT:				return x.getFirstChild();			// (NOT (NOT x) ) => (x)*/"
// otherwise assume the parent is the the criteria that created us
// named parameter
// We use a different delegate than the non-optimistic superclass default
// Does this dialect support the Oracle-style FOR UPDATE NOWAIT syntax?
//null child could occur for no from clause in a filter
// function support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//sort first by role name
// SELECT p FROM p IN CLASS eg.Person ORDER BY p.Name, p.Address, p
//Cope with a continued path expression (ie. ].baz)
// ConnectionManager.Callback implementation ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// this function has a template -> redirect output and catch the arguments
// (NOT (BETWEEN a b) ) => (NOT_BETWEEN a b)
// otherwise, the proxy was pruned during the serialization process
// TODO : absolutely no usages of this constructor form; can it go away?
// Multi-param numeric dialect functions...
//TODO:this is only needed during compilation .. can we eliminate the instvar?
//treat it just like a new collection
// this property belongs to the table, and it is not specifically // excluded from optimistic locking by optimistic-lock="false"
// %upper is deprecated
/////////////////////////////////////////////////////////////////////////// // USED ONLY FOR REGRESSION TESTING!!!! // // todo : obviously get rid of all this junk ;) ///////////////////////////////////////////////////////////////////////////
// ok in normal Hibernate usage to delete a detached entity; JPA however // forbids it, thus this is a hook for HEM to affect this behavior
// we really could refresh the item if it // is not a lock, but it might be slower //return freshTimestamp < txTimestamp
// the current iterator
// check the id unsaved-value
// invokespecial
// an association
//default pool size 20
// special case where we need to force incloude all subclass joins
// we have the form: trim(from trimSource). //      This is functionally equivalent to trim(trimSource)
//entirely optional!!
// Generated select expressions are already resolved, nothing to do.
// synchronized to avoid multi-thread access issues; defined as method synch to avoid // potential deadlock issues due to nature of code.
// this is the regression style determination which matches the logic of the classic translator
// TODO should we just collect these like with the collections above?
// for an any // we will have to use reflection
// NOT NULL VIOLATION
// todo : hack!!! // NOTE : here we cleanup the load context when we have no more local // LCE entries.  This "works" for the time being because really // only the collection load contexts are implemented.  Long term, // this cleanup should become part of the "close result set" // processing from the (sandbox/jdbc) jdbc-container code.
//even on inverse="true"
// System Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// cascade-delete to collections BEFORE the collection owner is deleted
//Cope with [,]
//value is the entity name
// again, CCS did not have such a concept; but a reasonable // proximity is to clear the cache after transaction *as long as* // the underlying cache is not JTA aware.
// the configured transaction-factory says it only supports // local callback mode, so no sense attempting to register a // JTA Synchronization
//Clobs are ignored by merge() operation
//if an exception occurs during flush, user must call rollback()
// lock() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//for backward compatibility, disable this:
// set last used iterator here, in case the user calls remove // before calling hasNext() or next() (although they shouldn't)
