// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// line 1214
// line 1270
// return sqrt(squarD) with precision of rootMC
// do nothing, fall back on default compiler below
// close without removing from finalizers
// FIXME: This is almost entirely duplicated from Main.java
// Just a plain bang
// context is null, wipe out the SoftReference (this could be done with a reference queue)
// block (expr)
// line 1595
// can't read non-standard properties
//                    // check arity //                    checkArity(mv, scope);
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// get implementation
// We don't append '+' since Java number parser gets confused
// removes and returns the stored value without processing undefs (autoloads)
// line 432
// Length to read
// Atomic ?
// line 1854
// FIX replace type() == ... with isInstanceOf(...)
// FIXME: figure out why we get null sometimes
// line 448
// pop extra failed value from first cycle and we're done
// pop extra attr value
// line 1352
// double precision, little-endian
// GMT+00:00 --> Etc/GMT, see "MRI behavior" // comment below.
// line 1436
// TODO: public only?
// specific arity
// Whether this scope is used as the "argument scope" for e.g. zsuper
// A global object lock for class hierarchy mutations
// are we recursing?
// Translate ret = (a || b) to ret = (a ? true : b) as follows //  //    v1 = -- build(a) -- //       OPT: ret can be set to v1, but effectively v1 is true if we take the branch to L. //            while this info can be inferred by using attributes, why bother if we can do this? //    ret = true //    beq(v1, true, L) //    v2 = -- build(b) -- //    ret = v2 // L: //
// trim extension to try other options
// XXX: 0xffff0000 on BE?
// TODO same zero-length checks as file above
// If we're running from within an IDE we may not have // the .rb files in our classpath. Try to find them // in the filesystem instead.
// readable only by thread building proxy, so don't need to be // volatile. used to handle recursive calls to getProxyClass/Module // while proxy is being constructed (usually when a constant // defined by a class is of the same type as that class).
// MRI behavior: value given in seconds; converted to Float; less // than or equal to zero returns immediately; returns nil
//System.err.println(" stringToLong/converted c=" + c);
// init errorInfo to nil
// line 1358
// OK, we now have the significand in digits[0...nDigits] // and the exponent in exponent.  We're ready to format.
// Contains a list of all blocks (as Procs) that should be called when // the runtime environment exits.
// We yield here to hopefully permit the target thread to schedule // MRI immediately schedules it, so this is close but not exact
// If the solution has changed, add "dsts" to the work list. // No duplicates please which is why we have bbset.
// Support IO modes that this object was opened with
// line 936
// isFoo() => foo, isFoo(*) => foo(*)
// switch on the object's *native type*. This allows use-defined // classes that have extended core native types to piggyback on their // marshalling logic.
// add to the corresponding positive power of 32 for the result. // meaningful? no. conformant? yes. I just write the code...
// TODO: Bleeding runtime into parser.  Arity may be should be in parser (to keep bleeding oneway)
// line 1742
//reset the $loadTestvar
// Portion of line right after beginning marker
"/*     * All the positive powers of 10 that can be     * represented exactly in double/float.     * (From sun.misc.FloatingDecimal.java)     */"
// If the killee thread is the same as the killer thread, just die
// // INTERNAL VARIABLE METHODS //
// PUSH(0).  If you look at original macro: stack |= (n&1) => stack |= 0 => no-change.
//.append("  -x[directory]   strip off text before #!ruby line and perhaps cd to directory\n")
// if it's a singleton class and the real class is proc, we're doing closure conversion // so just use Proc's hashcode
// ?A  | Time    | Last access time for file1
// actual required is less than 3, so we use specific arity
// Additionally add ?-postfixed aliases to any boolean methods and properties.
// TODO: need to get this back into the method signature...now is too late...
// call operator
// FIXME: peek('u') utf8 stuff for 1.9
// line 1902
// it's safe since adler.update doesn't modify the array
// line 1492
// line 1439
/* copy pre-match substr */
// We're cloning ourselves, so we know the result should be a RubyObject
// calculation for simple (and typical) case, // adapted from sun.misc.FloatingDecimal
// @JRubyMethod(name = "complex?")
// popen callers wants to be able to read, provide subprocess in directly
// line 1263
/* hex constant */
// Iteration variables, for the square root x and the reciprocal v // initial x:  x0 ~ sqrt() // initial v:  v0 = 1/(2*x)
// SSS FIXME: Cannot optimize this without assuming that Range.to_ary method has not redefined. // So for now, return null!
// no script to run, return success below
// Populate up to shorter of calling arguments or local parameters in the block
// Indicate that we are done processing the loop
// try to use POSIX for this first
// RubyBasicSocket
// Used by our duck-typification of Proc into interface types, to allow // coercing a simple proc into an interface parameter.
// You can only value-replace atomic values
// specialized for value
// FIXME: Maybe not best place, but move it to a good home
/* We may need to subtract addition offset off of first */
// the converters handle not only primitive types but also their boxed versions, so we should check // if we have a converter before checking for isPrimitive()
// MRI rounds up on nnn5nnn, but not nnn5 -- // except for when they do
// HACK: in order to have stdout/err act like ttys and flush always, // we set anything assigned to stdout/stderr to sync
// should not happen!
// line 1535
// Not exposed by filetest, but so similiar in nature that it is stored here
