//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
"/*ArrayList list = new ArrayList();			list.addAll( getKey().getConstraintColumns() );			list.addAll( getIndex().getConstraintColumns() );			getCollectionTable().createUniqueKey(list);*/"
// see if the entry represents a class file
//we need to upgrade the lock mode to the mode requested
//figure out which formulas are needed
//Enable for HHH-440, which we don't like:
//this should be a call to resolve(), not resolveIdentifier(),  //'cos it might be a property-ref, and we did not cache the //referenced value
// just decrement the lock, don't recache // (we don't know which transaction won)
// Generate the inner join -- The elements need to be joined to the collection they are in.
// OPTIMISTIC LOCK MODE
// limit the methods available if no transaction is active
//recache the updated state
// our column span is the number of columns in the PK
//full joins are not supported.. yet!
// "current" means the reference that was found during flush()
"//			collectionOwnerAliases.add( ownerAlias );"
// If this is an implied join in a from element, then use the impled join type which is part of the // tree parser's state (set by the gramamar actions).
// Note : expected in the syntax: //      type=listenerClass //          ({sep}type=listenerClass)* // where {sep} is any whitespace or comma
//we must use the "remembered" uk value, since it is  //not available from the EntityEntry during assembly
// for non-arrays, we don't need to know the element class //elementType.returnedClass();
//for arrays, replaceElements() may return a different reference, since //the array length might not match
// prefer re-generation of identity!
//q.addCollection(collectionName, collectionRole);
// does this need holdlock also? : return tableName + " with (updlock, rowlock, holdlock)";
// table=null -> an association // - fill it in later //TODO fill in the mappings for table == null
// TODO: It would be really, really nice to use this to also model components!
// need to extract the component values and check for subtype replacements...
//no pointbase BIT
/* trim done to workaround stupid oracle bug that cant handle whitespaces before a { in a sp */
// ----------------------------------------------------------- Constructors
// evicts don't cascade to uninitialized collections
// select-range is terminated by declaration of "from"
// Append the stem to the proxool pool alias
//figure out which tables need to be fetched
// Render the SQL query
// save() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//the criteria instance
// We've been here before
//scan the query string for class names appearing in the from clause and replace //with all persistent implementors of the class/interface, returning multiple //query strings (make sure we don't pick up a class in the select clause!)
//TODO: cache the persister, this shows up in yourkit
// Next, try to locate this resource through the system classloader
// serialization ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// IDENTIFIER
// for convenience to save some lookups
// VERSION / TIMESTAMP
// unable to locate it using this name
//NOTE SPECIAL CASE: // default to join and non-lazy for the "second join" // of the many-to-many
// set up second pass
//TODO: use these in methods above
//to stop the class from being unloaded
// Custom SQL
// TODO: The order in which entities are saved may matter (e.g., a particular transient entity //       may need to be saved before other transient entities can be saved; //       Keep retrying the batch of transient entities until either: //       1) there are no transient entities left in transientCopyCache //       or 2) no transient entities were saved in the last batch // For now, just run through the transient entities and retry the merge
//TODO: check that entry.getIdentifier().equals(requestedId)
//map second/minute/hour/day/month/year to ANSI extract(), override on subclasses
//Set USE_REFLECTION_OPTIMIZER to false to fix HHH-227
// entityNames may now include slashes for the representations //classname may be an inner class
//TODO: remove use of instanceof!
"//	private final List persisters = new ArrayList();"
// Get the configurator files (if available)
// if either its role changed,
// Put a placeholder in entries, so we don't recurse back and try to save() the // same object again. QUESTION: should this be done before onSave() is called? // likewise, should it be done before onUpdate()?
//isSet = collection.isSet(); //isSorted = collection.isSorted();
// we have a CGLIB enhanced entity
// iterate entries ordered by capacity to find first fit
